"Subject" "Activity" "tBodyAccMag-std()" "tBodyAccMag-min()" "tGravityAccMag-std()" "tGravityAccMag-min()" "tBodyAccJerkMag-std()" "tBodyAccJerkMag-min()" "tBodyGyroMag-std()" "tBodyGyroMag-min()" "tBodyGyroJerkMag-std()" "tBodyGyroJerkMag-min()" "fBodyAccMag-std()" "fBodyAccMag-min()" "fBodyBodyAccJerkMag-std()" "fBodyBodyAccJerkMag-min()" "fBodyBodyGyroMag-std()" "fBodyBodyGyroMag-min()" "fBodyBodyGyroJerkMag-std()" "fBodyBodyGyroJerkMag-min()"
"45" 10 "WALKING" -0.24879026 -0.80031065 -0.24879026 -0.80031065 -0.032867436 -0.53945262 -0.44010622 -0.067000608 -0.59531504 -0.43445474 -0.40463261 -0.91891736 0.0045444672 -0.56443843 -0.49346756 -0.99878635 -0.59846451 -0.87421828
"46" 10 "WALKING" -0.19734432 -0.85693261 -0.19734432 -0.85693261 0.058158816 -0.62100893 -0.4050829 -0.27970671 -0.54483728 -0.60527559 -0.38154057 -0.81275624 0.07540175 -0.51661241 -0.49565351 -0.6981059 -0.56848305 -0.72248635
"47" 10 "WALKING" -0.10476441 -0.85693261 -0.10476441 -0.85693261 0.18624471 -0.76901646 -0.43066879 -0.35388717 -0.53050846 -0.60527559 -0.28491717 -0.79421877 0.14303882 -0.16247267 -0.51332533 -0.65273586 -0.59859324 -0.54744436
"48" 10 "WALKING" -0.097014029 -0.67034999 -0.097014029 -0.67034999 0.041305827 -0.76901646 -0.45776365 -0.35388717 -0.56616077 -0.31879821 -0.24947513 -0.70707899 0.048858614 -0.64615787 -0.55192747 -0.78667979 -0.63344061 -0.65866083
"49" 10 "WALKING" -0.13948641 -0.83208221 -0.13948641 -0.83208221 -0.053360856 -0.61760105 -0.49228929 0.21378766 -0.5610156 -0.34743542 -0.32755036 -0.95203543 -0.02620948 -0.55563555 -0.57989836 -0.97807112 -0.61554355 -0.51809228
"50" 10 "WALKING" -0.068496317 -0.83208221 -0.068496317 -0.83208221 0.11001253 -0.5249262 -0.484453 -0.027238546 -0.55879492 -0.75372151 -0.27167523 -0.92363251 0.14205747 -0.63915434 -0.55956613 -0.9729609 -0.5886421 -0.6720118
"51" 10 "WALKING" -0.08752922 -0.59401199 -0.08752922 -0.59401199 0.057512799 -0.5249262 -0.44143482 -0.027238546 -0.55697149 -0.75372151 -0.28599713 -0.66301024 -0.0066222774 -0.90352827 -0.51613424 -0.96194219 -0.59323736 -0.67067822
"52" 10 "WALKING" -0.16116593 -0.59531388 -0.16116593 -0.59531388 -0.035701381 -0.47872459 -0.40971366 0.12297108 -0.60977512 -0.60833098 -0.34746725 -0.99062642 -0.16004865 -0.13204665 -0.46847804 -0.85143116 -0.62291874 -0.60321426
"53" 10 "WALKING" -0.34382331 -0.75124157 -0.34382331 -0.75124157 -0.12275198 -0.38149933 -0.35955487 -0.49366 -0.64141237 -0.54019708 -0.51451723 -0.68544967 -0.11624188 -0.82132242 -0.41551186 -0.76233401 -0.64406686 -0.78635927
"54" 10 "WALKING" -0.13680243 -0.77131333 -0.13680243 -0.77131333 0.075038042 -0.7264812 -0.3357702 -0.51082872 -0.56013988 -0.52926339 -0.32322013 -0.7022224 0.1224624 -0.17334509 -0.42786431 -0.99545671 -0.56249783 -0.84203486
"55" 10 "WALKING" -0.13309591 -0.8182839 -0.13309591 -0.8182839 0.059167604 -0.7264812 -0.33522123 -0.51082872 -0.53617466 -0.52926339 -0.32670056 -0.89993698 -0.013720616 -0.042474982 -0.45340324 -0.89826415 -0.54949162 -0.8663609
"56" 10 "WALKING" -0.28330344 -0.8182839 -0.28330344 -0.8182839 -0.12699418 -0.30601682 -0.43822087 0.12551352 -0.57825516 -0.23841601 -0.43912676 -0.45296443 -0.13654475 -0.77869469 -0.52441946 -0.89891941 -0.57906948 -0.87102583
"57" 10 "WALKING" -0.26358719 -0.53389584 -0.26358719 -0.53389584 -0.046694076 -0.30601682 -0.47910675 0.3141799 -0.54954292 -0.29755348 -0.39412643 -0.6084049 0.0046752123 -0.51543999 -0.54543733 -0.82202103 -0.55425242 -0.86610317
"58" 10 "WALKING" -0.17261687 -0.68314528 -0.17261687 -0.68314528 0.045675833 -0.22048651 -0.42827023 -0.53663172 -0.48879447 -0.39173396 -0.34492799 -0.94324143 0.088783961 -0.18778921 -0.53397692 -0.77622868 -0.52269748 -0.76903775
"59" 10 "WALKING" 0.0040911004 -0.83902298 0.0040911004 -0.83902298 0.12492868 -0.47678392 -0.46166933 -0.53663172 -0.43387729 -0.39173396 -0.21155538 -0.47717069 0.22761459 -0.39101891 -0.58926215 -0.85526023 -0.46363861 -0.71632077
"60" 10 "WALKING" 0.01463159 -0.83902298 0.01463159 -0.83902298 0.31035607 -0.47678392 -0.49571979 0.24416117 -0.49378035 -0.40323231 -0.2219733 -0.53101172 0.33667131 -0.894845 -0.59045634 -0.67766355 -0.51864495 -0.53562727
"61" 10 "WALKING" -0.088525259 -0.74913103 -0.088525259 -0.74913103 0.34176627 -0.48584306 -0.45881649 -0.15925998 -0.53375399 -0.40323231 -0.32225125 -0.89103147 0.32697468 -0.62903855 -0.55181488 -0.83034486 -0.59836234 -0.54174626
"62" 10 "WALKING" -0.064719917 -0.60645688 -0.064719917 -0.60645688 0.18011324 -0.48584306 -0.37505555 -0.18998179 -0.49868852 -0.46632289 -0.26902174 -0.77781068 0.14206186 -0.34701353 -0.47093678 -0.69476686 -0.53811724 -0.74529419
"63" 10 "WALKING" -0.07825297 -0.60645688 -0.07825297 -0.60645688 0.089549213 -0.16851135 -0.37536082 -0.18998179 -0.52599356 -0.46632289 -0.29123419 -0.83095275 0.075291451 -0.14840794 -0.44728698 -0.97487158 -0.59171313 -0.6068388
"64" 10 "WALKING" -0.19081207 -0.74958321 -0.19081207 -0.74958321 0.0055063797 -0.76903532 -0.42151865 -0.21024999 -0.56222452 -0.26553836 -0.35487748 -0.71334868 0.078667446 -0.73447948 -0.52707176 -0.92173292 -0.59471606 -0.87394445
"65" 10 "WALKING" -0.11550186 -0.74958321 -0.11550186 -0.74958321 0.08937693 -0.76903532 -0.42099869 -0.21024999 -0.48752131 -0.35499597 -0.24143486 -0.75594914 0.21734872 -0.49537718 -0.54503679 -0.73979936 -0.50223929 -0.73139499
"66" 8 "WALKING" -0.12085602 -0.87113915 -0.12085602 -0.87113915 -0.15875301 -0.25800631 -0.1683617 -0.64101011 -0.55554545 -0.1599496 -0.29537272 -0.64269428 -0.23298005 -0.58268298 -0.24907454 -0.813306 -0.64390541 -0.40643972
"67" 8 "WALKING" -0.14747799 -0.87113915 -0.14747799 -0.87113915 -0.17817581 -0.40355159 -0.232149 -0.35613777 -0.50525041 -0.35343853 -0.3158043 -0.69105166 -0.27978793 -0.16921903 -0.29920084 -0.79991325 -0.56749272 -0.22813553
"68" 8 "WALKING" -0.26245024 -0.67156652 -0.26245024 -0.67156652 -0.24705789 -0.81461689 -0.32842212 -0.35613777 -0.53894385 -0.77444461 -0.44245827 -0.82871226 -0.3872504 -0.78883445 -0.3902697 -0.77683287 -0.60225609 -0.56905948
"69" 8 "WALKING" -0.21723328 -0.57499382 -0.21723328 -0.57499382 -0.21823076 -0.81461689 -0.34627072 -0.085893183 -0.54432169 -0.77444461 -0.40700389 -0.59203621 -0.32884883 -0.87826861 -0.41111935 -0.88020553 -0.62098419 -0.78550358
"70" 8 "WALKING" -0.11498872 -0.57499382 -0.11498872 -0.57499382 -0.12745885 -0.30507595 -0.26701191 -0.073641399 -0.43988994 -0.68692635 -0.31416005 -0.62551739 -0.20675619 -0.98064506 -0.38892772 -0.77688188 -0.53877828 -0.72318335
"71" 5 "WALKING" -0.4021282 -0.59030867 -0.4021282 -0.59030867 -0.3684169 -0.6735765 -0.29230233 -0.53825628 -0.59046449 -0.66058786 -0.49378241 -0.80306935 -0.29230584 -0.68436832 -0.32468232 -0.96234717 -0.53448591 -0.90433409
"72" 5 "WALKING" -0.39097991 -0.55563347 -0.39097991 -0.55563347 -0.26917324 -0.7569873 -0.56371115 -0.53825628 -0.58191363 -0.65074099 -0.49430205 -0.8026691 -0.23685626 -0.4846559 -0.64465979 -0.93610274 -0.53672858 -0.90791682
"73" 5 "WALKING" -0.36868103 -0.55563347 -0.36868103 -0.55563347 -0.23978464 -0.7569873 -0.54464722 -0.30350176 -0.53775369 -0.75980792 -0.47654402 -0.78260155 -0.19451221 -0.81671943 -0.60907303 -0.92617922 -0.47466113 -0.84437496
"74" 5 "WALKING" -0.40577355 -0.43106445 -0.40577355 -0.43106445 -0.2854843 -0.52329644 -0.48630116 -0.30350176 -0.49938049 -0.75980792 -0.51766263 -0.84383787 -0.20004999 -0.76697825 -0.55759622 -0.79881713 -0.41247738 -0.84584141
"75" 5 "WALKING" -0.33125325 -0.50845465 -0.33125325 -0.50845465 -0.25743815 -0.83801495 -0.41798651 -0.23243496 -0.4470589 -0.74033472 -0.46697166 -0.96573004 -0.19897163 -0.88668711 -0.48289073 -0.91415192 -0.35298895 -0.84374365
"76" 5 "WALKING" -0.39242863 -0.57904652 -0.39242863 -0.57904652 -0.32954348 -0.83801495 -0.46928574 -0.38772982 -0.52784638 -0.6045411 -0.56449842 -0.43824396 -0.33769506 -0.99689479 -0.5301083 -0.91318167 -0.48125359 -0.82335282
"77" 5 "WALKING" -0.55669231 -0.57904652 -0.55669231 -0.57904652 -0.47508396 -0.92234091 -0.62464292 -0.8405707 -0.63994621 -0.58629935 -0.66872545 -0.91356371 -0.45389289 -0.85067768 -0.72165261 -0.67524871 -0.61460361 -0.94390611
"78" 5 "WALKING" -0.51132967 -0.6467829 -0.51132967 -0.6467829 -0.43451514 -0.92234091 -0.6009869 -0.8405707 -0.59983572 -0.76373534 -0.62617623 -0.90479333 -0.40954407 -0.68291229 -0.68844622 -0.88352204 -0.57125179 -0.6327413
"79" 5 "WALKING" -0.39642435 -0.65290916 -0.39642435 -0.65290916 -0.3637609 -0.83392654 -0.57016331 -0.57849884 -0.59252608 -0.87700022 -0.50204088 -0.97726171 -0.33498067 -0.69363449 -0.65319067 -0.83948276 -0.57059857 -0.90564537
"80" 2 "WALKING" -0.44353865 -0.75574112 -0.44353865 -0.75574112 -0.31796451 -0.63801321 -0.54568881 -0.76512917 -0.70572975 -0.82667534 -0.57722126 -0.92153525 -0.30361075 -0.50184347 -0.60384393 -0.90354494 -0.74965418 -0.83219922
"81" 2 "WALKING" -0.43868662 -0.69374474 -0.43868662 -0.69374474 -0.24507369 -0.54664319 -0.60457531 -0.62872825 -0.6918202 -0.82667534 -0.56717287 -0.86991179 -0.27331151 -0.61012131 -0.65248835 -0.88036223 -0.7316334 -0.90228732
"82" 2 "WALKING" -0.41638152 -0.69831097 -0.41638152 -0.69831097 -0.12095298 -0.54664319 -0.61192892 -0.62872825 -0.69026657 -0.92565748 -0.58529069 -0.67113133 -0.10892883 -0.55984265 -0.71593281 -0.96965853 -0.73590816 -0.87950517
"83" 2 "WALKING" -0.44905304 -0.69831097 -0.44905304 -0.69831097 -0.17613586 -0.79674938 -0.57411233 -0.55123076 -0.68108841 -0.92565748 -0.61447491 -0.74020067 -0.15358228 -0.45903683 -0.65519604 -0.95749212 -0.70427724 -0.79172385
"84" 2 "WALKING" -0.51999786 -0.54592678 -0.51999786 -0.54592678 -0.4160981 -0.79674938 -0.58486464 -0.5754888 -0.69819388 -0.72323366 -0.62108306 -0.72398279 -0.43733372 -0.69597627 -0.64947211 -0.97283583 -0.74091069 -0.8808028
"85" 2 "WALKING" -0.49456952 -0.62441807 -0.49456952 -0.62441807 -0.31012745 -0.44050129 -0.5977214 -0.5754888 -0.70796706 -0.72323366 -0.60631309 -0.79918553 -0.33061765 -0.8484015 -0.69336454 -0.72949331 -0.7340308 -0.86117886
"86" 2 "WALKING" -0.47067775 -0.62441807 -0.47067775 -0.62441807 -0.24570533 -0.50898067 -0.64260285 -0.52726961 -0.72779504 -0.59415828 -0.59051964 -0.85262545 -0.24489991 -0.79339162 -0.71571945 -0.73793621 -0.77878905 -0.79470447
"87" 2 "WALKING" -0.45233848 -0.59265005 -0.45233848 -0.59265005 -0.26600811 -0.50898067 -0.64421091 -0.7631678 -0.71246138 -0.70571126 -0.57498276 -0.93234373 -0.32986752 -0.55791184 -0.72810446 -0.84381848 -0.74151003 -0.75273367
"88" 2 "WALKING" -0.45187902 -0.52383588 -0.45187902 -0.52383588 -0.23879917 -0.72171425 -0.62275863 -0.7631678 -0.66586292 -0.77307505 -0.56893256 -0.76862653 -0.22439083 -0.2966535 -0.70620681 -0.79764712 -0.66545107 -0.8237448
"89" 2 "WALKING" -0.45085553 -0.85524953 -0.45085553 -0.85524953 -0.21220632 -0.72171425 -0.57802274 -0.59930021 -0.67259673 -0.92437234 -0.5937211 -0.51636318 -0.19638613 -0.73697344 -0.6442259 -0.80060867 -0.65647207 -0.86775206
"90" 2 "WALKING" -0.44368488 -0.864274 -0.44368488 -0.864274 -0.22987747 -0.79642378 -0.5369922 -0.59930021 -0.68291115 -0.92437234 -0.58948303 -0.87308203 -0.21574475 -0.73909004 -0.61181519 -0.78780175 -0.70020622 -0.74489641
"91" 2 "WALKING" -0.43738301 -0.864274 -0.43738301 -0.864274 -0.23200899 -0.79642378 -0.51384022 -0.58336934 -0.60196087 -0.53094469 -0.61477125 -0.79218439 -0.19177754 -0.66609658 -0.61311716 -0.65618229 -0.60369357 -0.86058219
"92" 2 "WALKING" -0.40656078 -0.5740642 -0.40656078 -0.5740642 -0.20040076 -0.95883933 -0.49562903 -0.45247148 -0.57280162 -0.70586766 -0.61424602 -0.6215666 -0.2833267 -0.49481902 -0.62000951 -0.74305725 -0.53985044 -0.82989772
"93" 2 "WALKING" -0.45172781 -0.75975942 -0.45172781 -0.75975942 -0.22857044 -0.95883933 -0.53817799 -0.76177459 -0.61774919 -0.70586766 -0.60807077 -0.92451492 -0.26679147 -0.53400414 -0.63075032 -0.77854996 -0.60216826 -0.96451353
"94" 2 "WALKING" -0.50300025 -0.75975942 -0.50300025 -0.75975942 -0.26290785 -0.67078926 -0.59918039 -0.88099644 -0.67490435 -0.86225531 -0.64768601 -0.9292645 -0.23021849 -0.81243788 -0.6905296 -0.85858927 -0.70343437 -0.73182322
"95" 2 "WALKING" -0.47690441 -0.67553547 -0.47690441 -0.67553547 -0.33623732 -0.92964091 -0.50389296 -0.78119605 -0.7187459 -0.61301703 -0.58980347 -0.928354 -0.36926597 -0.34332367 -0.55265428 -0.82672642 -0.75408305 -0.95378683
"96" 2 "WALKING" -0.44172461 -0.56696441 -0.44172461 -0.56696441 -0.22303219 -0.92964091 -0.6167634 -0.68109545 -0.71600554 -0.61301703 -0.59832529 -0.65509641 -0.17216846 -0.85652309 -0.66213719 -0.89885779 -0.72313066 -0.79038533
"97" 2 "WALKING" -0.49046433 -0.49093862 -0.49046433 -0.49093862 -0.26654742 -0.029876838 -0.56461572 -0.68291192 -0.69499883 -0.56049386 -0.65181305 -0.88083315 -0.26911688 -0.53023782 -0.62901901 -0.87838943 -0.7128151 -0.89313911
